Comment,topic_1final,topic_2final,topic_2nd_ratio,sentiment_1final,sentiment_2final
"The pay rate and sometimes how people are treated defiantly need improvement. When I started I was trained in both AL and Pathways and am currently working on getting my dementia training to I can work back in connections. I'm scheduled around 67 hours a pay period but pick up another 60 during that same pay period on both pathways and AL. I work the most out of pathways and recently they hired a CNA, whom which is making more then me and not working as many hours nor picking up as many as \I have. Granted I understand she has a CNA, but at the end of the day we're both doing the same job and its proven with how often some of us pick up we're doing more then her to get paid less. I feel that's terrible and it makes me not want to come to work some days. So in my opinion either send me to get my CNA and pay me the same amount as her, for again doing the same amount of work as her, or change the pay scale, trying to make it equal because it's defiantly not anywhere equal right now and that is extremely frustrating. ",Incentives/Growth,Inspiring Work/Place,0.0019164703492905125,Negative,Positive
Include workers in the back in things. ,Co-Workers/Teamwork,Staffing and Scheduling,0.028009152950284406,Negative,Positive
We are family ,Co-Workers/Teamwork,Inspiring Work/Place,0.0029341288884933204,Positive,Negative
The CARE CULTURE that is highly applicable and respected here.,Co-Workers/Teamwork,Inspiring Work/Place,0.13193441086967064,Positive,Negative
"Many wonderful ways of recognizing staff have been implemented which are truly appreciated.  A continuation of those tools of recognition, especially for those who are ""in the trenches"".  ",Appreciation/Recognition,Co-Workers/Teamwork,0.004225472821131959,Positive,Negative
Great teamwork!,Co-Workers/Teamwork,Communication/Support,0.0011426021265924311,Positive,Negative
"I truly enjoy the work I do. I feel that we are making a difference in people's lives. When a new resident comes in for therapy and we get to know them, encourage them to join activities and find the things that interest them, it brings me joy. I never feel blah about coming into work. While the job can be very demanding and at times stressful, other times it doesn't feel like work, since I enjoy it so much. ",Inspiring Work/Place,Co-Workers/Teamwork,0.000778921408911029,Positive,Negative
company is great morals and what they believe.,Management Reliability/Integrity,Inspiring Work/Place,0.013301878874283817,Positive,Negative
"Fair pay. I have worked for this company for at least 5years, starting pay $9.00 an hr I still don't make ten. I stay for the client not the co.",Incentives/Growth,Inspiring Work/Place,0.0013676468773250261,Negative,Positive
Change the Administrator (Deb) and get rid of the DON (Gayle) they make people feel terrible and they gossip way to much. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.001937732719578306,Negative,Positive
More training for new field managers. ,Learning & Development,Communication/Support,0.008059514144673765,Negative,Positive
"Hire housekeepers, this is killing caregivers!!,",Staffing and Scheduling,Co-Workers/Teamwork,0.006465551698470808,Negative,Positive
most  freindly,Co-Workers/Teamwork,Other,0.17770523843372701,Positive,Negative
Find a consistent way to improve our Census,Inspiring Work/Place,Communication/Support,0.20433342885253064,Negative,Positive
More supplies,Supplies/Systems,Benefits,0.010973214958284247,Negative,Positive
"Good onboarding, good training, access to free online CEUs, generally good facilities (good contracts), have floated a lot and have seen good DORs everywhere I've gone",Learning & Development,Incentives/Growth,0.03626940893098989,Positive,Negative
Its Christian based and that means everything to me. We get to pray and talk about the Lord without judgement.,Inspiring Work/Place,Co-Workers/Teamwork,0.02317441866779997,Positive,Negative
Better pay,Incentives/Growth,Inspiring Work/Place,0.0010854747778786139,Negative,Positive
I love the autonomy I have always felt here. The people genuinely care about each other and there's laughter!,Co-Workers/Teamwork,Communication/Support,0.00925846949348578,Positive,Negative
More paid time off.,Incentives/Growth,Benefits,0.004650674189600236,Negative,Positive
"Itâ€™s heartwarming to know you can have more than just a resident to employee relationship, these arenâ€™t just people I come take care of, theyâ€™re like my family, and I take pride in that.",Inspiring Work/Place,Co-Workers/Teamwork,0.003894809006496113,Positive,Negative
Higher salary,Incentives/Growth,Inspiring Work/Place,0.0015131260466026177,Negative,Positive
the way people are treat by supersiver,Co-Workers/Teamwork,Management Reliability/Integrity,0.035460527159776045,Negative,Positive
all the staff are very nice and good to work with and all the residents are great,Co-Workers/Teamwork,Inspiring Work/Place,0.0054993723722876866,Positive,Negative
I know I am very secure in my position.,No answer/Nothing,Management Reliability/Integrity,0.21456596501346667,Positive,Nothing
"Communication, encouragement and better leadership",Communication/Support,Management Reliability/Integrity,0.0018730137559392441,Negative,Positive
The residents ,Inspiring Work/Place,Co-Workers/Teamwork,0.0014551339046451615,Positive,Negative
Importance of core values ,Inspiring Work/Place,Management Reliability/Integrity,0.378089132115377,Positive,Negative
"The benefits for the employees. I think that this is the company's downfall. They are not competitive with other company's and so we see a lot of turn over. I think that this includes not just pay but health, and, dental, and PTO.  This is a huge downfall for Integrity. ",Benefits,Incentives/Growth,0.003930380125930805,Negative,Positive
"some of the general communication-asking for a little more input from co-workers (when possible) when we are researching a different way of doing something;whether it be cleaning products,way of cleaning, or taking care of residents needs",Communication/Support,Co-Workers/Teamwork,0.0006946286680654841,Negative,Positive
more recognition for the hard work ,Appreciation/Recognition,Incentives/Growth,0.003953036857997729,Negative,Positive
Increased recognition for the need for people of color in upper and middle management. ,Appreciation/Recognition,Incentives/Growth,0.05647527838799699,Negative,Positive
Having back up plans whenever someone calls out and no one is able to come in. Sometimes we are pressured to do more work then other places like this. ,Staffing and Scheduling,Co-Workers/Teamwork,0.029954422416828087,Negative,Positive
hire more people,Staffing and Scheduling,Co-Workers/Teamwork,0.004744185675426226,Negative,Positive
An increased match on 401K contributions.,Benefits,Incentives/Growth,0.0009563838842994017,Negative,Positive
La comunicaion,Communication/Support,Co-Workers/Teamwork,0.018755192692997903,Positive,Negative
I can't think of one thing to change! Love it here!,No answer/Nothing,Inspiring Work/Place,0.0003365858671962452,Nothing,Negative
Don't know right now ,No answer/Nothing,Inspiring Work/Place,0.00019794861034262882,Nothing,Negative
Communication ,Communication/Support,Co-Workers/Teamwork,0.0007044661993200155,Negative,Positive
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
"Stop encouraging other employees to â€œtellâ€ on their co workers. Mistakes will always be made. Education should be a priority instead of writing workers up for mistakes that can be a learning lesson for others. Be fair in applying rules for all employees. Instead of turning a blind eye to their â€œteachers petâ€ that they use to report everything going on in the unit. Management says that they are available for help but when you really need them they are no where to be found. They donâ€™t appreciate the extra hours or extra effort, the workers put into providing excellent service to residents. They rather penalize for the smallest of things and impose unlrealistic expectations.",Management Reliability/Integrity,Communication/Support,0.19179589376428233,Negative,Positive
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
Overall cooperative and collaborative environment with co-workers who like and respect one another. We can often put our heads together to come up with one or more solutions to a challenge and find a successful outcome for all parties concerned.,Co-Workers/Teamwork,Communication/Support,0.002073455007993725,Positive,Negative
More flexible schedule,Staffing and Scheduling,Balancing Personal/Productivity,0.0022729285145962797,Negative,Positive
"Honestly I'm proud to work here - but not being a PCA - I feel that they should be paid much more.  To think that these girls care for our elderly and make less than what they could at the Sheetz up the road from here.  These girls do back breaking, messy jobs and some residents are very hard to care for.  I wish they would be paid more - again - not being one of them -I just watch what they do - admire the work they do - but I see at the end of the shift - in PW - they are physically exhausted and some mentally too.  We have high levels of care and high levels of dementia - combined it's tough on them.   Management kicks in and buys pizza, and gestures of appreciation - but bottom line - they aren't making near enough in my opinion.   Especially to think that there are many levels of management that maybe could be lessened and pay our front line staff better wages.  ",Incentives/Growth,Inspiring Work/Place,0.003944433115079752,Negative,Positive
everyone is very friendly . Wrking at this place make me more confident.,Co-Workers/Teamwork,Inspiring Work/Place,0.002489288600296725,Positive,Negative
"When I first started to now, things have changed. I loved the hospitality and smiles and professionalism when I first started. It was a family feel, and the care was most important. Unfortunately, not anymore. There is a lot wrong.. All that changed. Their expectations are currently too high for what they provide the floor staff, managment doesn't listen to us even when they say ""they will look into it"", and you can try talking to your immediate boss and get ignored for days. The DON is a joke, and acts as if she's the administrator- all staff talks bad about her, she isn't fit for the company. We almost always run out of gloves and wipes and get told its the CNAs fault and dont provide extra until next shipment. There was a time i was in and out of consciousness (some health issues) and my mom called in for me, when I didn't know she did. I was in trouble for that and placed on a 90 day probation, and also refused to give me my yearly raise. I'm used to working 100 hours a paycheck. I also heard they told someone they had to come work when this CNA was having severe back problems, when the nurse asked management about this choice they blew it off. This it the thing.. They are money hungry. The care from the DON is almost non existent. I, and the other employees who have worked here over a year, and high hopes and expectations of this place. ""Healthcare Redefined"".. But we have a Sava management team, and if you interview all the floor staff they will agree how its ran and their vision is a ""train wreck"". They will also say Amanda DON needs to go for it to be a better place for both us, and the guests.",Management Reliability/Integrity,Co-Workers/Teamwork,0.014949951015133139,Negative,Positive
"Access to reliable resources for developing a better work flow, managerial changes to those that are open minded and easily transition to the changes that in healthcare, culture change",Management Reliability/Integrity,Communication/Support,0.08667736461927918,Negative,Positive
"I really like the meaningful moments philosophy, I do appreciate that regional management is directly available for support & their being positive when asking questions & new ideas ",Management Reliability/Integrity,Communication/Support,0.004682288204452271,Positive,Negative
Improved compensation and benefits,Benefits,Incentives/Growth,0.007190123824988127,Negative,Positive
Better communication between staff and administrators ,Communication/Support,Management Reliability/Integrity,0.0007893504295696698,Negative,Positive
"When hired as a PRN employee and then go to full time or part time, your hire date changes and you lose that seniority. ",Incentives/Growth,Staffing and Scheduling,0.21193695600317056,Negative,Positive
Decrease the amount of technology error/failures from printers to laptops to ipads.  Calculation of the cumulative costs to the company as a direct result of tech device problems would likely be eye-opening.  Fewer device issues would save money through improved productivity and work to decrease employee stress/frustration in the work place.,Supplies/Systems,Inspiring Work/Place,0.011175954710065794,Negative,Positive
Hire housekeeping,Staffing and Scheduling,Co-Workers/Teamwork,0.00710796747186065,Negative,Positive
"The pay! I feel sometimes we are doing CNA jobs but not certifie, so the only thing that bothers me is the pay. I love the residents and staff , there like my second family.",Incentives/Growth,Inspiring Work/Place,0.002264714709725075,Negative,Positive
Sincerity towards residents and staff,Inspiring Work/Place,Co-Workers/Teamwork,0.013107684103470282,Positive,Negative
Pay our caregivers a livable wage.,Incentives/Growth,Inspiring Work/Place,0.002234388205113629,Negative,Positive
I would encourage the management team to ensure that employees receive an annual evaluation and subsequent merit increase upon their work anniversary.  ,Management Reliability/Integrity,Appreciation/Recognition,0.11971579070104071,Negative,Positive
Make sure the other shift look out for each other.,Co-Workers/Teamwork,Communication/Support,0.0025095324271948833,Negative,Positive
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
I don't think I would change a thing.,No answer/Nothing,Inspiring Work/Place,0.00026697801309212603,Nothing,Negative
This Company is truly one that cares about it's staff.  ,Management Reliability/Integrity,Inspiring Work/Place,0.019118836656579558,Positive,Negative
"Not having to rely on Government - Medicaid for Income. This limits the Company, in providing better wages and benefits. ",Benefits,Incentives/Growth,0.0023580486249630997,Negative,Positive
Nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
Call outs,Communication/Support,Staffing and Scheduling,0.2957691533106466,Negative,Positive
"Yes, they have great people here. I feel very comfortable and honored to work here!",Co-Workers/Teamwork,Inspiring Work/Place,0.003846554198817654,Positive,Nothing
"Stop forcing great employees to put up with employees who management made a mistake to hire in the first place! This â€œretrainingâ€ nonsense for people who will not or cannot fulfill the job, ultimately causes more work, and no help for contentious staff. This is an issue all the way to the top of company leadership. ",Management Reliability/Integrity,Staffing and Scheduling,0.15452114802755107,Negative,Positive
The work environment is pleasantly comfortable and made to feel inviting.  ,Co-Workers/Teamwork,Inspiring Work/Place,0.003985428510291902,Positive,Negative
30 minute clock out breaks,Staffing and Scheduling,Balancing Personal/Productivity,0.10671192549864039,Negative,Positive
"Dedication to Christian principles.
Individual willingness to help one another-both within departments and between departments.",Co-Workers/Teamwork,Inspiring Work/Place,0.01297582970266945,Positive,Negative
Few leaders need to cycle out and move on. Some have been here far too long and are no longer effective. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.0031316776230421216,Negative,Positive
 Show more respect !,Appreciation/Recognition,Co-Workers/Teamwork,0.09135792204709502,Negative,Positive
"No changes, this is a great place to work ",No answer/Nothing,Inspiring Work/Place,0.00016713174919055554,Nothing,Negative
To raise salary,Incentives/Growth,Inspiring Work/Place,0.0012367473279080658,Negative,Positive
Because this company cares.,Management Reliability/Integrity,Inspiring Work/Place,0.01076731235377425,Positive,Negative
"fully staff the facility before trying to make the place bigger, staff is frustrated and burnt out",Staffing and Scheduling,Co-Workers/Teamwork,0.011704609033655609,Negative,Positive
"The support is great, and the knowledge that is being shared is invaluable. I believe that Constellation's ABA program is going to continue to grow and do good for children and their families. And I understand that the program is very new. But one thing that would make it a better place to work would be better pay. ",Communication/Support,Inspiring Work/Place,0.12053125674561428,Negative,Positive
More staff,Staffing and Scheduling,Co-Workers/Teamwork,0.0019468024370339334,Negative,Positive
At this time I can't think of any changes that needs to be made I'm sure there are but right now everything seems to be smooth here,No answer/Nothing,Inspiring Work/Place,0.0003493677595243524,Nothing,Negative
A better call bell system for the residents and communication system between staff members.,Communication/Support,Supplies/Systems,0.15750631518260122,Negative,Positive
Coworkers help each other out. ,Co-Workers/Teamwork,Inspiring Work/Place,0.0018302826617074559,Positive,Negative
Some of the employees and residents. The facility is beautiful.,Inspiring Work/Place,Co-Workers/Teamwork,0.0035737792960082943,Positive,Negative
"Add full kitchen staff,food servers and fulltime Housekeeping.",Staffing and Scheduling,Co-Workers/Teamwork,0.0021380014468049082,Negative,Positive
Last year there was a freeze on any time of merit-based or cost of living raise. I am hoping that this will change as I do believe it affects morale of the employees and will definitely increase employee productivity and facilitate going above and beyond.,Incentives/Growth,Benefits,0.011377919968488909,Negative,Positive
"Infinity rehab is a great company to work for. However, this survey is hardly applicable to what we do. I hope we don't utilize this survey again. ",No answer/Nothing,Inspiring Work/Place,0.02571400469184661,Nothing,Negative
Better pay and less â€œtaking awayâ€ benefits.  ,Incentives/Growth,Inspiring Work/Place,0.0039164499152957,Negative,Positive
"Better hourly wages, end of wage freeze, end of the ridiculous emphasis on productivity, more professional development (not just the symposium), less paperwork",Incentives/Growth,Inspiring Work/Place,0.0028412221376013557,Negative,Positive
" Place on more dietary aide on the floor during the meal service, so that residents do not have to wait for special requests, especially on eggs to order days.",Staffing and Scheduling,Inspiring Work/Place,0.014950759046260998,Negative,Positive
I like the fact that it recognize state employees effort.,Appreciation/Recognition,Co-Workers/Teamwork,0.007069871544609491,Positive,Negative
"Management would show value in their employees by keeping us fully staffed, by honoring schedule needs as much as possible and by communicating clearly any changes. ",Management Reliability/Integrity,Communication/Support,0.0016539093424270096,Negative,Positive
the staff,Co-Workers/Teamwork,Inspiring Work/Place,0.0031774539779437006,Positive,Negative
Itâ€™s great area of work,No answer/Nothing,Inspiring Work/Place,0.0015440032454616347,Nothing,Positive
That management would ask questions before jumping to conclusions and trust the decisions made by staff.,Management Reliability/Integrity,Communication/Support,0.0014156035877126755,Negative,Positive
nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
"The extra rewards we get for being an employee (whether full or part time)....like 2 free movie passes, Starbucks gift cards, visa gift cards for picking up last minute shifts, free pies for Thanksgiving ",Benefits,Appreciation/Recognition,0.10184682300910805,Positive,Negative
I signed the paper as a part time worker because I am a student as well. I come back for my breaks to work but it can be a lot since I end up working more hours than I signed up for. It would be great if as a part time worker I actually worked part time. ,Benefits,Balancing Personal/Productivity,0.26516778878759234,Negative,Positive
"Strive towards being a more natural and sustainable company, offering our resident's the most optimal nutrition/product's for their overall health. 
I know the question only asked for one thing but of course I have to also throw in - better pay wouldn't hurt either :)",Inspiring Work/Place,Incentives/Growth,0.018289601128486016,Negative,Positive
Being able to eat lunch with clients when clients offer. ,Benefits,Inspiring Work/Place,0.016262263658697033,Positive,Negative
More communication ,Communication/Support,Co-Workers/Teamwork,0.0005755983508141754,Negative,Positive
"If I could change anything about this job, it would be to understand when people need a week of for something important, not to have the first words to them be, if you are gone for more then a week we can list your job. That seems like it is more of a threat for leaving to do something important rather then something that could end up terminating your job. That is the only reason that I would be hesitant to refer anyone more to this job.",Balancing Personal/Productivity,Co-Workers/Teamwork,0.20056687978632518,Negative,Positive
"More in person formal training in required company interventions and administration of new testing with patient's. At this point, we go online and watch a video and have a test afterwards to show that we are competent, but never have an opportunity to have in person inservice and brain storming with other employees. ",Learning & Development,Communication/Support,0.03246225311680073,Negative,Positive
"To improve on staff retention, conduct a fair hearing before letting go a co-worker. Encouraging team work and discouraging backbiting, and silos among co-workers",Co-Workers/Teamwork,Staffing and Scheduling,0.16890839323530052,Negative,Positive
"For schools contractor work, unusual to have benefits and support of prof peers",Benefits,Incentives/Growth,0.004517609248176631,Positive,Negative
They do care about you as a person,Management Reliability/Integrity,Co-Workers/Teamwork,0.0842122931758609,Positive,Negative
"that co-workers are told the ""why"" to get everyone's buy-in when changes occur.",Communication/Support,Co-Workers/Teamwork,0.01195192964071576,Negative,Positive
"The bosses care


The bosses care",Management Reliability/Integrity,Co-Workers/Teamwork,0.0018842191030716867,Positive,Negative
"Need more staff in Memory Care 1 and 2 and also in AL. Good people are leaving to due short staff in all departments. There are 2 person assist in Memory Care 2 but only have 2 staff. So if the 2 staff go in assist the resident that needs a 2 person assistance, the floor is left unattended. Calling other departments may not be available due to their short staff. There will be other good people that will leave because promises the upper management makes about getting a 3rd person for 2nd shift. And why there are 3 or 4 staff on 1st shift in Memory Care 2. But when it comes to 2nd shift it is only 2 staff. This has been going on for a long time. How could upper management say things will get better in Memory Care. How is that possible when there are 17 residents with different behaviors. A couple of residents can be very aggressive. Doing hourly checks in Memory Care 2 especially when it is bed time.  The staff are required to go into the residents bathroom while he or she sleeps to press a button. The residents gets extremely upset because the staff are disturbing them. If the residents can't get there proper rest means lack of sleep that means the residents does eat well which turns into a decline in health. Hence, It takes some residents awhile to drift off. I do understand why the staff must do it. So when the residents tells the staff not to come back in, but it's our responsibility to make that check visual and press the button in their bathroom,do we do as the request or do what we are instructed to do from upper management. We work really hard in Memory Care 2. 2nd shift nor 1st shift still haven't received our appreciation.",Staffing and Scheduling,Co-Workers/Teamwork,0.0038976740010756724,Negative,Positive
I wish we could take service more residents with more space! ,Inspiring Work/Place,Staffing and Scheduling,0.012386184032197566,Negative,Positive
The Pay & Rotating Weekends,Incentives/Growth,Inspiring Work/Place,0.0061542448010915105,Negative,Positive
none,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
The Residents and the people you work with ,Inspiring Work/Place,Co-Workers/Teamwork,0.0008846897136221049,Positive,Negative
better communication,Communication/Support,Co-Workers/Teamwork,0.0006260022936116906,Negative,Positive
"I would stress to the residents that not everything is controlled by the managers and their associates, and as such they should be much more respectful to the team members and the department heads. There is still a business to run after all, and when you have 500 resident opinions on how to do just that, it does make coming to work difficult some days.",Inspiring Work/Place,Management Reliability/Integrity,0.029470776393104938,Negative,Positive
Nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
Salary increase for pca's,Incentives/Growth,Inspiring Work/Place,0.002968034996594125,Negative,Positive
great people to work for,Co-Workers/Teamwork,Inspiring Work/Place,0.010851236871422717,Positive,Nothing
"not much, maybe a bonus at holidays and paid vacation for employees that are full time and who has been with the company over 1year",Benefits,Incentives/Growth,0.004898050365583215,Negative,Positive
"People are always cooperative and willing to help each other. 
People do their job the best the can. 
My manager is great and she is always teaching me new things",Co-Workers/Teamwork,Management Reliability/Integrity,0.003645647911837102,Positive,Negative
"I would increase hourly rate, at present it is a bit disrespectful.",Incentives/Growth,Inspiring Work/Place,0.006663119104637307,Negative,Positive
I am satisfied with my work environment,Co-Workers/Teamwork,Inspiring Work/Place,0.11271891775002557,Positive,Nothing
i really don't know since i am new,No answer/Nothing,Inspiring Work/Place,0.00021185390937203513,Nothing,Negative
Itâ€™s not a great place to work ,No answer/Nothing,Inspiring Work/Place,0.00031306745597812124,Nothing,Negative
Evidence based medicine,Inspiring Work/Place,Management Reliability/Integrity,0.04100991338799763,Positive,Negative
Listening to the residents more often. The residents are where our answers lie....period. The best way to run a business is to listen your customers,Inspiring Work/Place,Communication/Support,0.008285049373562723,Negative,Positive
Day Shift works very well as a team.,Co-Workers/Teamwork,Staffing and Scheduling,0.004014471517863685,Positive,Negative
we're family/friend oriented.,Co-Workers/Teamwork,Inspiring Work/Place,0.00207188280370944,Positive,Negative
I would change the structure of some of the activities and events on campus and include the co-workers. That would build the relationship with the resident and co-workers.,Inspiring Work/Place,Co-Workers/Teamwork,0.025219920907628327,Negative,Positive
"At Clearwater, I have the opportunity to create an organization that embodies our values and shared mission.  We create a meaningful environment that allows us to provide the highest level of service, care, and support to our residents and fellow associates.  ",Inspiring Work/Place,Management Reliability/Integrity,0.003745054503663461,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
I love that we're like a big family. we celebrate and decorate for every little holiday.,Co-Workers/Teamwork,Inspiring Work/Place,0.057364731502198923,Positive,Negative
we are specific to dementia with activities geared towards residents with different stages of Dementia.,Inspiring Work/Place,Co-Workers/Teamwork,0.0014662146265243686,Positive,Negative
More pay,Incentives/Growth,Inspiring Work/Place,0.0010429849126766067,Negative,Positive
"It is a smaller community so it has more of a ""family"" feel to it.  The hours are good for the most part.  ",Co-Workers/Teamwork,Inspiring Work/Place,0.004785550145205041,Positive,Negative
"That makes it great? Maybe the bonuses for picking up shifts, but that's about it.",Benefits,Incentives/Growth,0.009179563434857221,Negative,Positive
If we could have some fishing days,Benefits,Balancing Personal/Productivity,0.23335746497920604,Negative,Positive
"I canâ€™t note a change..but would like to have male RCA ,s apply...usually care givers are too. Often are attracting women (they are great caregivers,),",Staffing and Scheduling,Co-Workers/Teamwork,0.03765245043086171,Negative,Positive
People actually using and responding on the radios for effective communication and assistance.,Communication/Support,Co-Workers/Teamwork,0.021144122694695774,Negative,Positive
"Guaranteed work hours.  Job and financial insecurity is very difficult and stressful trying to get ""enough"" hours of work daily and weekly.  ",Benefits,Incentives/Growth,0.14861633067253865,Negative,Positive
better compensation,Incentives/Growth,Benefits,0.010229797539976557,Negative,Positive
The coworkers are awesome and stick together as a family.,Co-Workers/Teamwork,Inspiring Work/Place,0.001189572436870025,Positive,Negative
"This company has some of the most caring, friendly and supportive staff you will ever have the pleasure of working with. ",Co-Workers/Teamwork,Management Reliability/Integrity,0.051803396232179465,Positive,Negative
"Better communication
",Communication/Support,Co-Workers/Teamwork,0.0006260022936116906,Negative,Positive
More competitive wages,Incentives/Growth,Inspiring Work/Place,0.0011070248110950367,Negative,Positive
med techs that actually help us pcas,Co-Workers/Teamwork,Supplies/Systems,0.1859312540776244,Positive,Negative
