Unnamed: 0,Unnamed: 0.1,Participant ID,Question ID,Comment,Label,Sentiment,Label_encoded,Sentiment_encoded,kfold
5204,2047,92243,One Change,Less unnecessary emails!  It seems like the culture of the organization is to copy everyone on everything.  It is overwhelming.  I am not sure if it is because everyone is trying to keep everyone else informed or if it is a C.Y.A.  ,Communication/Support,Negative,4,0,0
3367,3861,91794,Unique / Unusual,Neurological disorders ,Inspiring Work/Place; Quality,Positive,7,2,0
316,307,93618,One Change,"Decrease productivity levels I think once you have worked here for so long example 2 years you should get vacation time. Another thing is if you don't have pto and you need a day off for emergency sick, children, you get pentaliazed. ptp is great but it takes a lot of time to accumulate. change needs to be done for pto/vacation/sick days",Balancing Personal/Productivity (including time off),Negative,1,0,0
2948,6775,87118,One Change,Get a housekeeping team.,Staffing and Scheduling,Negative,12,0,0
2999,1072,74917,Unique / Unusual,staff supports each other through good and bad,Co-Workers/Teamwork,Positive,3,2,0
976,4536,71660,Unique / Unusual,"Strong values system, currently building strong culture, C-level management has always been amazing. Some mid-level managers are where the issues lie, but it is getting better.",Management Reliability/Integrity,Positive,9,2,0
3478,1247,79777,One Change,Que todos trabajaramos igual por que no todos asen bien su trabajo. ,Co-Workers/Teamwork,Negative,3,0,0
4002,4452,57507,Unique / Unusual,"Tiered

Tienen  una excelente   gerencia y se trata  bien al empleado",Management Reliability/Integrity,Positive,9,2,0
3690,4233,91557,One Change,Reduce the mount of the Relias training ,Learning & Development,Negative,8,0,0
1822,1522,93074,Unique / Unusual,It is a wonderful second home and great work family,Co-Workers/Teamwork,Positive,3,2,0
4894,2962,92891,One Change,"From Infinity rehab: Higher pay, more vacation hours, an extended illness bank, short term and long term disability (company funded)

From the Facility: Adequate resources to do my job...and the challenge is that the majority of the resources are supposed to be provided by the facility, not by Infinity Rehab. This has been a constant ongoing problem and it puts patients and staff at risk for injury as well as not allowing us to effectively treat the patients as well as could be done. Just the basics...adequate wheelchairs, seat cushions, functioning walkers and enough bariatric equipment would be a great start. Sadly this is so basic. Ideally we would have MUCH more rehab equipment as well. ",Incentives/Growth,Negative,6,0,0
3332,4239,91608,One Change,"Change the manner that new programs are implemented. A webinar and video being sent out is not adequate when therapist's have multiple questions or want to discuss aspects of a core program. The CUE webinars are not of high enough quality to swap the benefit of continuing education money with the CEU webinar courses. They may be more accessible, but do not offer the same quality as learning in person from a qualified trainer. They changes in the Symposium last year, by limiting classes and the type of classes,  shifted to a less desirable manner to learn in my opinion. More mentoring opportunities and in person learning opportunities.",Learning & Development,Negative,8,0,0
1021,5641,74743,One Change,Nothing,No answer/Nothing,No answer/Nothing,10,1,0
1238,2177,79577,Unique / Unusual,"ethical, honest and open communication People should look beyond skin color.",Employee relations,Positive,5,2,0
1559,5273,143,One Change,Nothing ,No answer/Nothing,No answer/Nothing,10,1,0
2803,767,56870,Unique / Unusual,great place to work you are treated with respect you are like a family here. everyone gets along like one big family,Co-Workers/Teamwork,Positive,3,2,0
4876,6644,74579,One Change,I would change the work load on the assistance living side. On 3-11 shift we have to stay in a few of the residents rooms over 30 minutes assistance them for bed.,Staffing and Scheduling,Negative,12,0,0
4405,3137,56420,Unique / Unusual,"I believe this company is a great place to work because it has the unique feeling of family. I feel that this company truly cares about the well being of all its' residents and coworkers and I feel that at Country Meadows, we do things to go above and beyond for the resident, even if it is something out of the norm or something that has not been done before. We truly always find a way to say yes!",Inspiring Work/Place; Quality,Positive,7,2,0
2709,6456,88513,Unique / Unusual,"though have uniform on everyday. they allow us to have fun on Fridays to dress down. and able to dress up for Halloween or any other fun event. put name plates outside everyones door so that when we are looking for someones office, we can find them.  I think it would also help visitors find them easier instead of having to ask.
",Other,Positive,11,2,0
122,2645,75410,One Change,"Integrity has a big heart and attracts employees that reflect this, however, one element that may be affect recruitment and retention is competitive compensation, merit increases and benefits. Integrity does provide in these areas, but when compared to other companies there is room for improvement. This is a complex issue, but if there was a way improve these areas I think it would be hard for people to want to work anywhere else.",Incentives/Growth,Negative,6,0,0
1693,2695,76229,One Change,higher pay,Incentives/Growth,Negative,6,0,0
4493,1384,89135,Unique / Unusual,"Inclusive in Idea Sharing, Compassion for others, honesty and integrity.  Very positive approach and collaboration with others. ",Co-Workers/Teamwork,Positive,3,2,0
4883,160,91951,One Change,"Merit raises The appreciation ,good organization",Appreciation/Recognition,Negative,0,0,0
878,2795,87347,One Change,Pay all employees more money that work extra and does a great job.,Incentives/Growth,Negative,6,0,0
2222,3199,56745,Unique / Unusual,the fact that you feel like family here,Inspiring Work/Place; Quality,Positive,7,2,0
5207,474,75491,One Change,"Better insurance, 401K, and better labor hours for more staff to be able to do the job efficiently.",Benefits,Negative,2,0,0
3883,832,57531,Unique / Unusual,"What I fell is unique about this job that everyone is very nice, has been here a long time and is very knowledgeable. Which to me means a lot!",Co-Workers/Teamwork,Positive,3,2,0
3689,2931,92159,One Change,I would say hourly pay or benefits need to be looked at to hire and keep the best employees for the job in all areas. ,Incentives/Growth,Negative,6,0,0
4080,2191,92837,One Change,People should look beyond skin color. Truly supports LGBTQ + outreach ,Employee relations,Negative,5,0,0
3187,575,91609,Unique / Unusual,"Benefits, CEUs and flexibility ",Benefits,Positive,2,2,0
4937,3370,57817,Unique / Unusual,the people i take care of ,Inspiring Work/Place; Quality,Positive,7,2,0
805,6941,76262,One Change,"A cleaner facility!!  Decent equipment for the residents who live here (ie: wheelchairs, shower chairs, seat cushions etc).  Not using paper time sheets but allowing us to put our time on our iPads.",Supplies/Systems,Negative,13,0,0
253,6446,75607,One Change,STOP FUCKING SPAMMING ME!  Great location to work at,Other,Negative,11,0,0
4247,4622,74513,One Change,From the cooperate office down to management,Management Reliability/Integrity,Negative,9,0,0
1044,5844,76279,Unique / Unusual,not really,No answer/Nothing,No answer/Nothing,10,1,0
181,1086,75011,Unique / Unusual,Faith Based,Co-Workers/Teamwork,Positive,3,2,0
4010,2189,92212,Unique / Unusual,Everyone is so nice! The way that they treat new hires favoritism fairness scheduling racism and the hearsay of abuse,Employee relations,Positive,5,2,0
4235,3087,719,Unique / Unusual,The people are fun and encouraging. Always trying to help each other get better and genuinely care about the success of the group as a whole.,Inspiring Work/Place; Quality,Positive,7,2,0
2256,6435,56502,Unique / Unusual,It can be a fun place to work you can sing with the residents and get to know them  The name badges are Ridiculously huge and look silly. ,Other,Positive,11,2,0
4262,4721,75089,One Change,Make sure everyone was treat equally. I was one of 2 males to work at this facility and yet I felt like I was being pushed into hiding every day. Trying to discuss situations with my manager was like pulling teeth. She did not care how I felt but rather how my coworker would feel if we discussed these issues with......,Management Reliability/Integrity,Negative,9,0,0
390,5028,89131,Unique / Unusual,its a unique place to work because management takes special interest  with the employes,Management Reliability/Integrity,Positive,9,2,0
1709,276,89159,One Change,"Have PC staff get early time off as the people who come in at the same time on holidays and weekends. Thanks be more personable. Celebrate the holidays more,be more decorative and festive and try to make it more inviting to family members",Balancing Personal/Productivity (including time off),Negative,1,0,0
3112,3292,57441,Unique / Unusual,people are caring and helpful and this is a clean place to work,Inspiring Work/Place; Quality,Positive,7,2,0
4879,6900,56964,Unique / Unusual,Unique the way the patients med are computerized the only draw back the scanning system is only 75 to 80 percent. I work in building 4. Only been here for a little over a year. And in that time frame the acuity of care has changed tremendously. We really are giving lemons and try our best to make lemonade. Our PCAs and MAs are frustrated with the curve balls that are constantly thrown their way. The nurses are overwhelmed 99% of the time. We try to stick to this cookie cutter CM ways for a building that is not fitting in. It makes it hard to successfully do a job when we have tools but not the most appropriate tools to get the job done. Then we get reprimanded and it's very discouraging. Because we honestly do our best with what we got. ,Supplies/Systems,Negative,13,0,0
2788,6697,75265,One Change,Hire new individuals and replace them for the bad workers. Individual who want to work as a team and give their best to their ability. ,Staffing and Scheduling,Negative,12,0,0
2568,2529,74478,Unique / Unusual,I worked for the liberty location till it was bought out then I went to Staley. Awesome company to work for I just wish there was more room for promotions I was with you guys 5 years and loved every bit of my opportunity and the residents Iâ€™m blessed to have had this opportunity. I know am working for a hospital to further my education and for promotional opportunities. ,Incentives/Growth,Negative,6,0,0
4599,6439,57360,One Change,More dress down days would be cool.  Great location to work at,Other,Negative,11,0,0
2950,2565,74714,One Change,Higher staff levels.  Higher starting salries,Incentives/Growth,Negative,6,0,0
2852,2531,74486,One Change,The pay rate,Incentives/Growth,Negative,6,0,0
3274,6958,88592,One Change,Supplies easier to access.  I work in building 4. Only been here for a little over a year. And in that time frame the acuity of care has changed tremendously. We really are giving lemons and try our best to make lemonade. Our PCAs and MAs are frustrated with the curve balls that are constantly thrown their way. The nurses are overwhelmed 99% of the time. We try to stick to this cookie cutter CM ways for a building that is not fitting in. It makes it hard to successfully do a job when we have tools but not the most appropriate tools to get the job done. Then we get reprimanded and it's very discouraging. Because we honestly do our best with what we got. ,Supplies/Systems,Negative,13,0,0
1140,4563,74121,Unique / Unusual,Wendy M,Management Reliability/Integrity,Positive,9,2,0
2014,104,75358,One Change,Have more celebration/acknowledgment for all shifts especially overnight staff rewarding people for their work when they pick up extra shifts.,Appreciation/Recognition,Negative,0,0,0
3333,2170,74725,One Change,That everyone is treated fairly stop discriminating against people for having nails because of there sexuality  and firing them. Stop discriminating  Less drama and talking about fellow co-workers.  ,Employee relations,Negative,5,0,0
4980,4219,80697,One Change,Pay for my CEUs I feel there is room for improvement with the training process of new hires. ,Learning & Development,Negative,8,0,0
4223,3597,75600,Unique / Unusual,"It was once known for our higher standards of quality care but that has slipped in my opinion, over the last few years.",Inspiring Work/Place; Quality,Positive,7,2,0
3647,6938,76107,One Change,Have hoyer lifts  The one thing I would change is having a PCA cart that can be used during rounds with supplies used to comfort the residents needs and clean up their facilities. ,Supplies/Systems,Negative,13,0,0
4868,6965,91783,One Change,"Having one internet site to do all of my activity (outside of the site we use for all Patient notes, etc.) Reduce the duplication of documentation that is built into the documentation software. Like lots of places documentation guidelines     are provided and it takes time to meet all the guidelines.",Supplies/Systems,Negative,13,0,0
1018,4210,76134,Unique / Unusual,The continuing education provided to ensure our skills are effective for our clients.  More time provided to access opportunities for learning/training/mentorship,Learning & Development,Positive,8,2,0
1765,6449,76111,Unique / Unusual,0nly that my mother used to live there. The muffins are amazing!,Other,Positive,11,2,0
1896,4285,94305,One Change,Cross training on different units. Training on computer programs needed to do everyday tasks.,Learning & Development,Negative,8,0,0
2058,4324,56464,One Change,Making mangers more professional and insurance benefits more affordable ,Management Reliability/Integrity,Negative,9,0,0
3554,4266,92246,Unique / Unusual,Lifelong learning  They truly want you to better yourself as a clinician -  offer free CEU courses and a symposium each year. ,Learning & Development,Positive,8,2,0
4439,5468,57810,Unique / Unusual,am,No answer/Nothing,No answer/Nothing,10,1,0
3718,215,56343,Unique / Unusual,I love how everyone works together as a team and a work community. job flexibility is very important to balance out work and personal life. Country Meadows delivers on that. I have never missed an important family function or school event involving my child since I started working here. The rotating days. And I would have every other weekend off,Balancing Personal/Productivity (including time off),Positive,1,2,0
463,12,56605,One Change,"Being acknoledged no matter where you work.
 That as an employee we were treated descent and appreciated and have enough help to perform our job right and not feeling like we did our job adequately enough then scolded because things are not done right",Appreciation/Recognition,Negative,0,0,0
3248,1797,57708,One Change,better communication,Communication/Support,Negative,4,0,0
5198,3006,93393,Unique / Unusual,Resident are good,Incentives/Growth,Positive,6,2,0
3674,1182,75635,One Change,Teamwork within local facilities,Co-Workers/Teamwork,Negative,3,0,0
4163,846,57598,Unique / Unusual,"Most of the coworkers that you work side by side with on a daily basis are what make this a great place to work, for example med techs are to be assisting PCA when they are done passing medications, there are only a select few that actually help the PCA's. These med tech's will do other things that could be done at other times instead of offering their help to the PCA's. The few med techs that do assist the PCA's when needed make the job of the PCA's a little less hectic. 
Having managers that appreciate what you as a PCA or med tech do on a daily basis make it a great place to work. For example if an aid is proud of something that they did and they want to share their accomplishments with a manager and the manager instead shuts them down and tells them how they should of done it differently makes the aid feel like what they do is not appreciated. The rate of pay to the amount of work that is to be done here is what could make this a great place to work. Alot of new employees get hired and once they start working and see the work load to the pay, alot of people will quit here and go to another job that the pay is matching the work load. This then causes a high turnover in employees. ",Co-Workers/Teamwork,Positive,3,2,0
3836,6317,93532,One Change,I cannot think of anything at this time that I would want to make better. ,No answer/Nothing,No answer/Nothing,10,1,0
4827,6669,74947,One Change,"More staffing
",Staffing and Scheduling,Negative,12,0,0
938,949,74249,Unique / Unusual,Everyone works together as a team working for the same goals - taking care of people.,Co-Workers/Teamwork,Positive,3,2,0
3306,6914,74131,One Change,"Condense amount of documenting paperwork - we duplicate documentation due to use of 2 or more online EMRs, also duplicate attendance records- takes so much extra time. one System for all clinical work, medications, nurse notes etc.",Supplies/Systems,Negative,13,0,0
4135,2220,56366,One Change,"Increase pay for everyone, not just increasing the new people hired",Incentives/Growth,Negative,6,0,0
2014,104,75358,One Change,Have more celebration/acknowledgment for all shifts especially overnight staff Opportunities need to be given to in house employees first before being offered to outside candidates. ,Appreciation/Recognition,Negative,0,0,0
3609,2108,93354,One Change,"Senior level management ALWAYS listen to issues or complaints that may come up. And as caregivers to the elderly, it is important that they do. BUT...they seldom act on the information that is reported by front line staff. Same issues, same problems year after year. Management thanks you very much and basically ignores any possible intervention to address the issue at hand,  other than to occasionally generate a meaningless survey (not this one!) that employees are encouraged to take. Truly frustrating...",Communication/Support,Negative,4,0,0
455,295,92870,One Change,Work load balance ... expectation is beyond what fits into a normal business day and normal work week  employees who work at country meadows for longer than 10 yrs should receive more weekend time off. at this time employees receive three weekends a year i am suggesting five weekends a year. ,Balancing Personal/Productivity (including time off),Negative,1,0,0
3665,38,57211,Unique / Unusual,"For the most part, everyone is truly kind. It's rare you'll walk by someone without them at least smiling back at you...which is really nice  The company practice and focus on the theme ""We Care"". Under this theme, the company shows us appreciation by throwing us a yearly holiday party. ",Appreciation/Recognition,Positive,0,2,0
2067,0,42,Unique / Unusual,This company has employee appreciation meals and events and really care about their employees. It is by far the best company i have ever worked for and i am definitely proud to be apart of such an amazing company ,Appreciation/Recognition,Positive,0,2,0
4909,3992,92827,Unique / Unusual,Clean,Inspiring Work/Place; Quality,Positive,7,2,0
4657,895,71639,Unique / Unusual,I love working for a faith based company where our clients are the number one priority.   Our caregivers are on the frontlines and we truly do all we can to support them here at the corporate office.  All of our teams pull together to get the job done.  ,Co-Workers/Teamwork,Positive,3,2,0
2024,2460,71715,One Change,Better pay,Incentives/Growth,Negative,6,0,0
5002,2161,56989,One Change,"The co-worker politics sometimes can distract the mission, less politics! tell mangers when they know things not to spread the rumors",Employee relations,Negative,5,0,0
3834,1387,89149,Unique / Unusual,most of the time we are one big family and we have great people working together.,Co-Workers/Teamwork,Positive,3,2,0
1757,4054,93481,Unique / Unusual,I came to work here because it was a Christian environment with censored language use. I feel free to be a Christian and share my faith with others here. ,Inspiring Work/Place; Quality,Positive,7,2,0
3767,2058,92697,One Change,Communication between facilities. Lack of communication seems to be an issue between management causing issues for those employees who float to different buildings.,Communication/Support,Negative,4,0,0
1403,2777,85086,One Change,Increase pay,Incentives/Growth,Negative,6,0,0
3358,6331,93603,Unique / Unusual,Not now,No answer/Nothing,No answer/Nothing,10,1,0
49,69,74070,Unique / Unusual,"I have been with the company since it started in Syosset. Iâ€™ve watched it grow and grow. As it has, I find those in charge are still very invested in the staff. They show their appreciation by giving out gift cards and verbally acknowledging workers. I love working here and will go the extra yard because of the positive feedback.",Appreciation/Recognition,Positive,0,2,0
4859,562,88588,One Change,Better parking,Benefits,Negative,2,0,0
4410,4973,86945,Unique / Unusual,They are always there for you when you need someone to talk to,Management Reliability/Integrity,Positive,9,2,0
3207,27,56939,Unique / Unusual,some of the co worker appreciation things they do are unique and fun.  rewarding people for their work when they pick up extra shifts.,Appreciation/Recognition,Positive,0,2,0
367,4849,76246,Unique / Unusual,"I believe we have a strong administrator who takes pride in the building and her employee's, she is always willing to listen and fix any issues I have ever brought to her attention. She is a good leader and very fair and although she is tough, she is a good tough. She truly makes working in this building fun because although its ""work"" she always has something fun planned for the building when she can.",Management Reliability/Integrity,Positive,9,2,0
4705,4800,75573,One Change,Management ,Management Reliability/Integrity,Negative,9,0,0
2606,2180,79885,One Change,No back biting and speaking about others in the kitchen el respeto a las personas  es impresionante no importando  raza color o sexo  especialmente  nuestra manager CAROL,Employee relations,Negative,5,0,0
2878,243,74598,One Change,Work every other weekend  would be good. U only get  one weekend off. U don't have time for  your family. The one thing that this company could change or make better is the fact that there is no bereavement pay for employees that have experienced the death of a immediate family member. In order to be able to take time off during the unexpected death of a family member employees must either use accumulated PTO time or just take time off without pay. It takes employees a long time to accumulate PTO time and if they already have plans in the near future for that accumulated PTO it makes it very difficult for them to take PTO pay time for the situation.,Balancing Personal/Productivity (including time off),Negative,1,0,0
2701,5200,93528,One Change,"Nothing. When myself or my coworkers have issues, we work together with management to resolve. When I have ideas on improvements, the management team takes my ideas into consideration and work with me to implement them.",Management Reliability/Integrity,Positive,9,2,0
2392,246,75017,One Change,PRN pay should be more considered we only work as needed also I feel that every employee should be honored a weekend off it should be rotated every other weekend but instead only first shift get EVERY WEEKEND OFF So UNFAIR! Thatâ€™s the one reason I went PRN I had no days for family which almost all of us has I have the opportunity to work around planned and unplanned activities that are important/necessary for me to be focused on.  I feel I can adjust my day to meet the needs of my family and my job.,Balancing Personal/Productivity (including time off),Negative,1,0,0
1334,6170,92164,Unique / Unusual,No ,No answer/Nothing,No answer/Nothing,10,1,0
880,3974,92766,Unique / Unusual,"yes; Everyone here strives to make sure that all the residence fell at ease, at home, appreciated, not locate and recreate a social environment.",Inspiring Work/Place; Quality,Positive,7,2,0
1985,267,80644,One Change,"Accruing vacation/time off is terrible. I have worked at many other facilities here in northern Colorado and this by far is the worst. Healthcare workers go home emotionally and mentally drained each night as we are caregivers to a needy and sometimes demanding clientele. This takes a toll over time and with limited time off, it affects us as people and as employees...my 2 cents.",Balancing Personal/Productivity (including time off),Negative,1,0,0
5181,241,74454,One Change,"To allow all care givers to have every other weekend off so far this priviledge is only given to RA,s working the morning shift , they have every weekend off, i think the weekends off should be given to all RA""s  I have the opportunity to work around planned and unplanned activities that are important/necessary for me to be focused on.  I feel I can adjust my day to meet the needs of my family and my job.",Balancing Personal/Productivity (including time off),Negative,1,0,0
1014,6169,92158,One Change,Nothing!,No answer/Nothing,No answer/Nothing,10,1,0
4339,6886,56391,One Change,Country Meadows policies falling more in line with state regulations. Less restrictive policies that leave us open to more opportunities for citations,Supplies/Systems,Positive,13,2,0
1216,3947,92408,Unique / Unusual,"I do not think that this company is a ""great place"" to work but one thing that makes coming to work a pleasure are the residents living in the Independent Living complex.  They are wonderful.  My fellow employees also make for an enjoyable work atmosphere.  BUT Management does not play a part at all.",Inspiring Work/Place; Quality,Positive,7,2,0
2643,702,56435,Unique / Unusual,"Everyone that works together here, helps out everyone on shift. Most places you're definetly on your own. Here at C.M. that is never the case. NO MATTER WHAT. ",Co-Workers/Teamwork,Positive,3,2,0
1696,112,76238,Unique / Unusual,The way we are appreciated and rewarded for our work.  I have never worked at a place that appreciates their employees as much as Benton House. I feel we are always rewarded for for the work we do. ,Appreciation/Recognition,Positive,0,2,0
2043,1366,88456,Unique / Unusual,the unique thing about this company is we all  get along very well we are like a little work family. everyone helps each other out when  you needed it the most and thats the moments you remember and are thankful for.,Co-Workers/Teamwork,Positive,3,2,0
689,304,93447,One Change,"Less workload.  It's not unusual to work into the evenings and weekends to try to keep up with work. be more personable. Celebrate the holidays more,be more decorative and festive and try to make it more inviting to family members",Balancing Personal/Productivity (including time off),Negative,1,0,0
3294,5702,75094,Unique / Unusual,None,No answer/Nothing,No answer/Nothing,10,1,0
2864,4705,74970,Unique / Unusual,"Kind management, seem to want to do what is right.",Management Reliability/Integrity,Positive,9,2,0
5212,3386,58629,Unique / Unusual,the residents feel like family ,Inspiring Work/Place; Quality,Positive,7,2,0
